CaseID,prefix_length,Activity,Resource,case_elapsed_time,event_elapsed_time,day_in_week,seconds_in_day,seriousness,product,responsible_section,service_level,service_type,support_section,workgroup
Case 3253,2,"['Assign seriousness', 'Take in charge ticket']","['Value 13', 'Value 4']","[0.0, 2070601.0]","[nan, 2070601.0]","[0.0, 3.0]","[52321.0, 49322.0]",Value 1,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 3253,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 13', 'Value 4', 'Value 4']","[0.0, 2070601.0, 2146848.0]","[nan, 2070601.0, 76247.0]","[0.0, 3.0, 4.0]","[52321.0, 49322.0, 39169.0]",Value 1,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 3256,1,['Assign seriousness'],['Value 12'],[0.0],[nan],[4.0],[57688.0],Value 1,Value 3,Value 1,Value 4,Value 1,Value 1,Value 1
Case 3256,2,"['Assign seriousness', 'Assign seriousness']","['Value 12', 'Value 2']","[0.0, 234822.0]","[nan, 234822.0]","[4.0, 0.0]","[57688.0, 33310.0]",Value 1,Value 3,Value 1,Value 4,Value 1,Value 1,Value 1
Case 3256,3,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket']","['Value 12', 'Value 2', 'Value 2']","[0.0, 234822.0, 234912.0]","[nan, 234822.0, 90.0]","[4.0, 0.0, 0.0]","[57688.0, 33310.0, 33400.0]",Value 1,Value 3,Value 1,Value 4,Value 1,Value 1,Value 1
Case 3256,4,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 12', 'Value 2', 'Value 2', 'Value 2']","[0.0, 234822.0, 234912.0, 322327.0]","[nan, 234822.0, 90.0, 87415.0]","[4.0, 0.0, 0.0, 1.0]","[57688.0, 33310.0, 33400.0, 34415.0]",Value 1,Value 3,Value 1,Value 4,Value 1,Value 1,Value 1
Case 3256,5,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket']","['Value 12', 'Value 2', 'Value 2', 'Value 2', 'Value 2']","[0.0, 234822.0, 234912.0, 322327.0, 1442804.0]","[nan, 234822.0, 90.0, 87415.0, 1120477.0]","[4.0, 0.0, 0.0, 1.0, 0.0]","[57688.0, 33310.0, 33400.0, 34415.0, 31692.0]",Value 1,Value 3,Value 1,Value 4,Value 1,Value 1,Value 1
Case 3256,6,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket']","['Value 12', 'Value 2', 'Value 2', 'Value 2', 'Value 2', 'Value 2']","[0.0, 234822.0, 234912.0, 322327.0, 1442804.0, 1442822.0]","[nan, 234822.0, 90.0, 87415.0, 1120477.0, 18.0]","[4.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[57688.0, 33310.0, 33400.0, 34415.0, 31692.0, 31710.0]",Value 1,Value 3,Value 1,Value 4,Value 1,Value 1,Value 1
Case 3257,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[2.0],[38348.0],Value 1,Value 4,Value 1,Value 1,Value 1,Value 1,Value 1
Case 3257,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 2']","[0.0, 173763.0]","[nan, 173763.0]","[2.0, 4.0]","[38348.0, 39311.0]",Value 1,Value 4,Value 1,Value 1,Value 1,Value 1,Value 1
Case 3257,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 1', 'Value 2', 'Value 2']","[0.0, 173763.0, 184178.0]","[nan, 173763.0, 10415.0]","[2.0, 4.0, 4.0]","[38348.0, 39311.0, 49726.0]",Value 1,Value 4,Value 1,Value 1,Value 1,Value 1,Value 1
Case 3257,4,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket']","['Value 1', 'Value 2', 'Value 2', 'Value 2']","[0.0, 173763.0, 184178.0, 528125.0]","[nan, 173763.0, 10415.0, 343947.0]","[2.0, 4.0, 4.0, 1.0]","[38348.0, 39311.0, 49726.0, 48073.0]",Value 1,Value 4,Value 1,Value 1,Value 1,Value 1,Value 1
Case 326,1,['Assign seriousness'],['Value 2'],[0.0],[nan],[4.0],[61478.0],Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 326,2,"['Assign seriousness', 'Take in charge ticket']","['Value 2', 'Value 2']","[0.0, 1436885.0]","[nan, 1436885.0]","[4.0, 0.0]","[61478.0, 29563.0]",Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 326,3,"['Assign seriousness', 'Take in charge ticket', 'Require upgrade']","['Value 2', 'Value 2', 'Value 2']","[0.0, 1436885.0, 1461836.0]","[nan, 1436885.0, 24951.0]","[4.0, 0.0, 0.0]","[61478.0, 29563.0, 54514.0]",Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 326,4,"['Assign seriousness', 'Take in charge ticket', 'Require upgrade', 'Require upgrade']","['Value 2', 'Value 2', 'Value 2', 'Value 9']","[0.0, 1436885.0, 1461836.0, 2666894.0]","[nan, 1436885.0, 24951.0, 1205058.0]","[4.0, 0.0, 0.0, 0.0]","[61478.0, 29563.0, 54514.0, 49972.0]",Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 326,5,"['Assign seriousness', 'Take in charge ticket', 'Require upgrade', 'Require upgrade', 'Resolve ticket']","['Value 2', 'Value 2', 'Value 2', 'Value 9', 'Value 9']","[0.0, 1436885.0, 1461836.0, 2666894.0, 2666903.0]","[nan, 1436885.0, 24951.0, 1205058.0, 9.0]","[4.0, 0.0, 0.0, 0.0, 0.0]","[61478.0, 29563.0, 54514.0, 49972.0, 49981.0]",Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 3260,1,['Assign seriousness'],['Value 4'],[0.0],[nan],[2.0],[55319.0],Value 1,Value 3,Value 1,Value 2,Value 2,Value 1,Value 4
Case 3260,2,"['Assign seriousness', 'Take in charge ticket']","['Value 4', 'Value 17']","[0.0, 63332.0]","[nan, 63332.0]","[2.0, 3.0]","[55319.0, 32251.0]",Value 1,Value 3,Value 1,Value 2,Value 2,Value 1,Value 4
Case 3260,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 4', 'Value 17', 'Value 17']","[0.0, 63332.0, 65034.0]","[nan, 63332.0, 1702.0]","[2.0, 3.0, 3.0]","[55319.0, 32251.0, 33953.0]",Value 1,Value 3,Value 1,Value 2,Value 2,Value 1,Value 4
Case 3261,1,['Assign seriousness'],['Value 2'],[0.0],[nan],[0.0],[36811.0],Value 1,Value 3,Value 4,Value 2,Value 2,Value 3,Value 2
Case 3261,2,"['Assign seriousness', 'Take in charge ticket']","['Value 2', 'Value 16']","[0.0, 81615.0]","[nan, 81615.0]","[0.0, 1.0]","[36811.0, 32026.0]",Value 1,Value 3,Value 4,Value 2,Value 2,Value 3,Value 2
Case 3261,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 2', 'Value 16', 'Value 6']","[0.0, 81615.0, 166595.0]","[nan, 81615.0, 84980.0]","[0.0, 1.0, 2.0]","[36811.0, 32026.0, 30606.0]",Value 1,Value 3,Value 4,Value 2,Value 2,Value 3,Value 2
Case 3263,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[1.0],[26607.0],Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 3263,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 4']","[0.0, 86262.0]","[nan, 86262.0]","[1.0, 2.0]","[26607.0, 26469.0]",Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 3263,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 1', 'Value 4', 'Value 4']","[0.0, 86262.0, 703632.0]","[nan, 86262.0, 617370.0]","[1.0, 2.0, 2.0]","[26607.0, 26469.0, 39039.0]",Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 3264,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[3.0],[29829.0],Value 1,Value 3,Value 1,Value 2,Value 2,Value 1,Value 2
Case 3264,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 12']","[0.0, 742.0]","[nan, 742.0]","[3.0, 3.0]","[29829.0, 30571.0]",Value 1,Value 3,Value 1,Value 2,Value 2,Value 1,Value 2
Case 3264,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 1', 'Value 12', 'Value 12']","[0.0, 742.0, 1034768.0]","[nan, 742.0, 1034026.0]","[3.0, 3.0, 1.0]","[29829.0, 30571.0, 27797.0]",Value 1,Value 3,Value 1,Value 2,Value 2,Value 1,Value 2
Case 3264,4,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket']","['Value 1', 'Value 12', 'Value 12', 'Value 12']","[0.0, 742.0, 1034768.0, 2329341.0]","[nan, 742.0, 1034026.0, 1294573.0]","[3.0, 3.0, 1.0, 2.0]","[29829.0, 30571.0, 27797.0, 26370.0]",Value 1,Value 3,Value 1,Value 2,Value 2,Value 1,Value 2
Case 3265,1,['Assign seriousness'],['Value 4'],[0.0],[nan],[3.0],[42707.0],Value 1,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 3265,2,"['Assign seriousness', 'Take in charge ticket']","['Value 4', 'Value 4']","[0.0, 7561.0]","[nan, 7561.0]","[3.0, 3.0]","[42707.0, 50268.0]",Value 1,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 3265,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 4', 'Value 4', 'Value 4']","[0.0, 7561.0, 338907.0]","[nan, 7561.0, 331346.0]","[3.0, 3.0, 0.0]","[42707.0, 50268.0, 36014.0]",Value 1,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 3266,1,['Assign seriousness'],['Value 12'],[0.0],[nan],[1.0],[50353.0],Value 1,Value 3,Value 4,Value 2,Value 2,Value 1,Value 1
Case 3266,2,"['Assign seriousness', 'Take in charge ticket']","['Value 12', 'Value 11']","[0.0, 1338.0]","[nan, 1338.0]","[1.0, 1.0]","[50353.0, 51691.0]",Value 1,Value 3,Value 4,Value 2,Value 2,Value 1,Value 1
Case 3266,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 12', 'Value 11', 'Value 11']","[0.0, 1338.0, 4473.0]","[nan, 1338.0, 3135.0]","[1.0, 1.0, 1.0]","[50353.0, 51691.0, 54826.0]",Value 1,Value 3,Value 4,Value 2,Value 2,Value 1,Value 1
Case 3268,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[0.0],[56854.0],Value 1,Value 3,Value 1,Value 2,Value 2,Value 1,Value 2
Case 3268,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 11']","[0.0, 326.0]","[nan, 326.0]","[0.0, 0.0]","[56854.0, 57180.0]",Value 1,Value 3,Value 1,Value 2,Value 2,Value 1,Value 2
Case 3268,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 1', 'Value 11', 'Value 11']","[0.0, 326.0, 353.0]","[nan, 326.0, 27.0]","[0.0, 0.0, 0.0]","[56854.0, 57180.0, 57207.0]",Value 1,Value 3,Value 1,Value 2,Value 2,Value 1,Value 2
Case 3269,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[3.0],[49227.0],Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 3269,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 1']","[0.0, 13.0]","[nan, 13.0]","[3.0, 3.0]","[49227.0, 49240.0]",Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 3269,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 1', 'Value 1', 'Value 1']","[0.0, 13.0, 929.0]","[nan, 13.0, 916.0]","[3.0, 3.0, 3.0]","[49227.0, 49240.0, 50156.0]",Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 3270,1,['Assign seriousness'],['Value 8'],[0.0],[nan],[4.0],[31126.0],Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
Case 3270,2,"['Assign seriousness', 'Take in charge ticket']","['Value 8', 'Value 9']","[0.0, 2974.0]","[nan, 2974.0]","[4.0, 4.0]","[31126.0, 34100.0]",Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
Case 3270,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 8', 'Value 9', 'Value 9']","[0.0, 2974.0, 3678.0]","[nan, 2974.0, 704.0]","[4.0, 4.0, 4.0]","[31126.0, 34100.0, 34804.0]",Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
Case 3270,4,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket']","['Value 8', 'Value 9', 'Value 9', 'Value 9']","[0.0, 2974.0, 3678.0, 269107.0]","[nan, 2974.0, 704.0, 265429.0]","[4.0, 4.0, 4.0, 0.0]","[31126.0, 34100.0, 34804.0, 41033.0]",Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
Case 3270,5,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket']","['Value 8', 'Value 9', 'Value 9', 'Value 9', 'Value 9']","[0.0, 2974.0, 3678.0, 269107.0, 269162.0]","[nan, 2974.0, 704.0, 265429.0, 55.0]","[4.0, 4.0, 4.0, 0.0, 0.0]","[31126.0, 34100.0, 34804.0, 41033.0, 41088.0]",Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
Case 3271,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[0.0],[44133.0],Value 1,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 3271,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 2']","[0.0, 263206.0]","[nan, 263206.0]","[0.0, 3.0]","[44133.0, 48139.0]",Value 1,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 3271,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve SW anomaly']","['Value 1', 'Value 2', 'Value 2']","[0.0, 263206.0, 2090509.0]","[nan, 263206.0, 1827303.0]","[0.0, 3.0, 3.0]","[44133.0, 48139.0, 61042.0]",Value 1,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 3271,4,"['Assign seriousness', 'Take in charge ticket', 'Resolve SW anomaly', 'Resolve ticket']","['Value 1', 'Value 2', 'Value 2', 'Value 2']","[0.0, 263206.0, 2090509.0, 3644305.0]","[nan, 263206.0, 1827303.0, 1553796.0]","[0.0, 3.0, 3.0, 0.0]","[44133.0, 48139.0, 61042.0, 59638.0]",Value 1,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 3273,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[0.0],[39549.0],Value 1,Value 6,Value 1,Value 2,Value 1,Value 1,Value 1
Case 3273,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 2']","[0.0, 1376343.0]","[nan, 1376343.0]","[0.0, 2.0]","[39549.0, 33492.0]",Value 1,Value 6,Value 1,Value 2,Value 1,Value 1,Value 1
Case 3273,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 1', 'Value 2', 'Value 9']","[0.0, 1376343.0, 1379994.0]","[nan, 1376343.0, 3651.0]","[0.0, 2.0, 2.0]","[39549.0, 33492.0, 37143.0]",Value 1,Value 6,Value 1,Value 2,Value 1,Value 1,Value 1
Case 3274,1,['Assign seriousness'],['Value 13'],[0.0],[nan],[3.0],[53236.0],Value 1,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 3274,2,"['Assign seriousness', 'Assign seriousness']","['Value 13', 'Value 2']","[0.0, 1010632.0]","[nan, 1010632.0]","[3.0, 1.0]","[53236.0, 27068.0]",Value 1,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 3274,3,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket']","['Value 13', 'Value 2', 'Value 2']","[0.0, 1010632.0, 1010701.0]","[nan, 1010632.0, 69.0]","[3.0, 1.0, 1.0]","[53236.0, 27068.0, 27137.0]",Value 1,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 3274,4,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 13', 'Value 2', 'Value 2', 'Value 7']","[0.0, 1010632.0, 1010701.0, 1012664.0]","[nan, 1010632.0, 69.0, 1963.0]","[3.0, 1.0, 1.0, 1.0]","[53236.0, 27068.0, 27137.0, 29100.0]",Value 1,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 3274,5,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket']","['Value 13', 'Value 2', 'Value 2', 'Value 7', 'Value 7']","[0.0, 1010632.0, 1010701.0, 1012664.0, 1014104.0]","[nan, 1010632.0, 69.0, 1963.0, 1440.0]","[3.0, 1.0, 1.0, 1.0, 1.0]","[53236.0, 27068.0, 27137.0, 29100.0, 30540.0]",Value 1,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 3274,6,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket']","['Value 13', 'Value 2', 'Value 2', 'Value 7', 'Value 7', 'Value 7']","[0.0, 1010632.0, 1010701.0, 1012664.0, 1014104.0, 1014115.0]","[nan, 1010632.0, 69.0, 1963.0, 1440.0, 11.0]","[3.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[53236.0, 27068.0, 27137.0, 29100.0, 30540.0, 30551.0]",Value 1,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 3277,1,['Assign seriousness'],['Value 8'],[0.0],[nan],[2.0],[56105.0],Value 1,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 3277,2,"['Assign seriousness', 'Take in charge ticket']","['Value 8', 'Value 8']","[0.0, 34.0]","[nan, 34.0]","[2.0, 2.0]","[56105.0, 56139.0]",Value 1,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 3277,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 8', 'Value 8', 'Value 13']","[0.0, 34.0, 83970.0]","[nan, 34.0, 83936.0]","[2.0, 2.0, 3.0]","[56105.0, 56139.0, 53675.0]",Value 1,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 3279,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[3.0],[36650.0],Value 1,Value 1,Value 1,Value 2,Value 2,Value 1,Value 2
Case 3279,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 16']","[0.0, 697067.0]","[nan, 697067.0]","[3.0, 4.0]","[36650.0, 42517.0]",Value 1,Value 1,Value 1,Value 2,Value 2,Value 1,Value 2
Case 3279,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 1', 'Value 16', 'Value 6']","[0.0, 697067.0, 965519.0]","[nan, 697067.0, 268452.0]","[3.0, 4.0, 0.0]","[36650.0, 42517.0, 51769.0]",Value 1,Value 1,Value 1,Value 2,Value 2,Value 1,Value 2
Case 3279,4,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket']","['Value 1', 'Value 16', 'Value 6', 'Value 6']","[0.0, 697067.0, 965519.0, 1755018.0]","[nan, 697067.0, 268452.0, 789499.0]","[3.0, 4.0, 0.0, 2.0]","[36650.0, 42517.0, 51769.0, 63668.0]",Value 1,Value 1,Value 1,Value 2,Value 2,Value 1,Value 2
Case 3279,5,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket']","['Value 1', 'Value 16', 'Value 6', 'Value 6', 'Value 6']","[0.0, 697067.0, 965519.0, 1755018.0, 1807364.0]","[nan, 697067.0, 268452.0, 789499.0, 52346.0]","[3.0, 4.0, 0.0, 2.0, 3.0]","[36650.0, 42517.0, 51769.0, 63668.0, 29614.0]",Value 1,Value 1,Value 1,Value 2,Value 2,Value 1,Value 2
Case 3281,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[1.0],[34700.0],Value 1,Value 3,Value 1,Value 2,Value 2,Value 1,Value 2
Case 3281,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 6']","[0.0, 78267.0]","[nan, 78267.0]","[1.0, 2.0]","[34700.0, 26567.0]",Value 1,Value 3,Value 1,Value 2,Value 2,Value 1,Value 2
Case 3281,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 1', 'Value 6', 'Value 6']","[0.0, 78267.0, 78684.0]","[nan, 78267.0, 417.0]","[1.0, 2.0, 2.0]","[34700.0, 26567.0, 26984.0]",Value 1,Value 3,Value 1,Value 2,Value 2,Value 1,Value 2
Case 3282,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[0.0],[36413.0],Value 1,Value 12,Value 1,Value 3,Value 1,Value 1,Value 1
Case 3282,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 1']","[0.0, 43.0]","[nan, 43.0]","[0.0, 0.0]","[36413.0, 36456.0]",Value 1,Value 12,Value 1,Value 3,Value 1,Value 1,Value 1
Case 3282,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 1', 'Value 1', 'Value 1']","[0.0, 43.0, 2150.0]","[nan, 43.0, 2107.0]","[0.0, 0.0, 0.0]","[36413.0, 36456.0, 38563.0]",Value 1,Value 12,Value 1,Value 3,Value 1,Value 1,Value 1
Case 3282,4,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Resolve ticket']","['Value 1', 'Value 1', 'Value 1', 'Value 1']","[0.0, 43.0, 2150.0, 2150.0]","[nan, 43.0, 2107.0, 2107.0]","[0.0, 0.0, 0.0, 0.0]","[36413.0, 36456.0, 38563.0, 38563.0]",Value 1,Value 12,Value 1,Value 3,Value 1,Value 1,Value 1
Case 3283,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[2.0],[35182.0],Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 3283,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 4']","[0.0, 14760.0]","[nan, 14760.0]","[2.0, 2.0]","[35182.0, 49942.0]",Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 3283,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 1', 'Value 4', 'Value 4']","[0.0, 14760.0, 1215460.0]","[nan, 14760.0, 1200700.0]","[2.0, 2.0, 2.0]","[35182.0, 49942.0, 41042.0]",Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 3286,1,['Assign seriousness'],['Value 8'],[0.0],[nan],[2.0],[26485.0],Value 1,Value 5,Value 1,Value 3,Value 1,Value 1,Value 1
Case 3286,2,"['Assign seriousness', 'Take in charge ticket']","['Value 8', 'Value 10']","[0.0, 1046147.0]","[nan, 1046147.0]","[2.0, 0.0]","[26485.0, 35832.0]",Value 1,Value 5,Value 1,Value 3,Value 1,Value 1,Value 1
Case 3286,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 8', 'Value 10', 'Value 21']","[0.0, 1046147.0, 1673672.0]","[nan, 1046147.0, 627525.0]","[2.0, 0.0, 0.0]","[26485.0, 35832.0, 58557.0]",Value 1,Value 5,Value 1,Value 3,Value 1,Value 1,Value 1
Case 3288,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[0.0],[35766.0],Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 3288,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 1']","[0.0, 38.0]","[nan, 38.0]","[0.0, 0.0]","[35766.0, 35804.0]",Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 3288,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 1', 'Value 1', 'Value 1']","[0.0, 38.0, 79999.0]","[nan, 38.0, 79961.0]","[0.0, 0.0, 1.0]","[35766.0, 35804.0, 29365.0]",Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 3288,4,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket']","['Value 1', 'Value 1', 'Value 1', 'Value 1']","[0.0, 38.0, 79999.0, 1550388.0]","[nan, 38.0, 79961.0, 1470389.0]","[0.0, 0.0, 1.0, 4.0]","[35766.0, 35804.0, 29365.0, 30954.0]",Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 3288,5,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Resolve ticket']","['Value 1', 'Value 1', 'Value 1', 'Value 1', 'Value 1']","[0.0, 38.0, 79999.0, 1550388.0, 1550400.0]","[nan, 38.0, 79961.0, 1470389.0, 12.0]","[0.0, 0.0, 1.0, 4.0, 4.0]","[35766.0, 35804.0, 29365.0, 30954.0, 30966.0]",Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 3289,1,['Assign seriousness'],['Value 14'],[0.0],[nan],[4.0],[31602.0],Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 3289,2,"['Assign seriousness', 'Take in charge ticket']","['Value 14', 'Value 9']","[0.0, 2249531.0]","[nan, 2249531.0]","[4.0, 2.0]","[31602.0, 34733.0]",Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 3289,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 14', 'Value 9', 'Value 9']","[0.0, 2249531.0, 2433643.0]","[nan, 2249531.0, 184112.0]","[4.0, 2.0, 4.0]","[31602.0, 34733.0, 46045.0]",Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 329,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[4.0],[39785.0],Value 1,Value 3,Value 1,Value 2,Value 2,Value 1,Value 2
Case 329,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 12']","[0.0, 423546.0]","[nan, 423546.0]","[4.0, 2.0]","[39785.0, 31331.0]",Value 1,Value 3,Value 1,Value 2,Value 2,Value 1,Value 2
Case 329,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 1', 'Value 12', 'Value 12']","[0.0, 423546.0, 423636.0]","[nan, 423546.0, 90.0]","[4.0, 2.0, 2.0]","[39785.0, 31331.0, 31421.0]",Value 1,Value 3,Value 1,Value 2,Value 2,Value 1,Value 2
Case 329,4,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket']","['Value 1', 'Value 12', 'Value 12', 'Value 1']","[0.0, 423546.0, 423636.0, 1644394.0]","[nan, 423546.0, 90.0, 1220758.0]","[4.0, 2.0, 2.0, 2.0]","[39785.0, 31331.0, 31421.0, 42579.0]",Value 1,Value 3,Value 1,Value 2,Value 2,Value 1,Value 2
Case 329,5,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket']","['Value 1', 'Value 12', 'Value 12', 'Value 1', 'Value 12']","[0.0, 423546.0, 423636.0, 1644394.0, 1720253.0]","[nan, 423546.0, 90.0, 1220758.0, 75859.0]","[4.0, 2.0, 2.0, 2.0, 3.0]","[39785.0, 31331.0, 31421.0, 42579.0, 32038.0]",Value 1,Value 3,Value 1,Value 2,Value 2,Value 1,Value 2
Case 3290,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[3.0],[49077.0],Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
